id,surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited

15634602,Hargrave,619.0,France,Female,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Female,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,1.0,101348.0,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
15634602,Hargrave,619.0,France,Male,42.0,2.0,0.0,1.0,1.0,Yes,Yes,stay
